"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
"8344","40.1110182","-74.9519079","50","","","","OVERPASS","","","charging_station","transport"
"8345","40.9185","-98.3566167","50","","","","OVERPASS","","","parking","parking"
"8348","35.0435761","-78.9573128","200","Burger King"," Speedway"," Bojangles'""""","Raeford Road Fayetteville NC 28304-3232, Raeford Road Fayetteville NC 28304, Raeford Road Fayetteville NC 28304"",,OVERPASS,['07:00-20:00'],,""fast_food, fuel"",food_and_drink","","","",""
"8349","39.6973041","-84.1898355","50","","","","OVERPASS","","","parking","parking"
"8382","39.0178086","-77.0282028","50","","","","OVERPASS","","","parking","parking"
"8384","42.028817","-71.249427","50","Holiday Inn Mansfield","","","OVERPASS","","","parking","parking"
"24900","37.6586908","-122.3958374","50","","","","OVERPASS","","","parking","parking"
"24901","39.9820302","-76.7693957","50","","","","OVERPASS","","","bicycle_parking","parking"
"8442","39.48137","-88.379991","200","","","","OVERPASS","","","parking_space","parking"
"8443","41.2626426","-96.0905213","50","Jimmy John's"," DQ Grill & Chill""""","North 114th Street Omaha NE 68154, North 114th Street Omaha NE 68154-2519"",,OVERPASS,,,fast_food,food_and_drink","","","","",""
"8444","33.3548467","-117.1573797","50","","","","OVERPASS","","","parking","parking"
