"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
16309,30.3815089,-97.7133419,50,"PIE AE SMART CHARGE 2, PIE AE SMART CHARGE 1","nan","yes, yes","OVERPASS","['24/7, 24/7']","nan","charging_station","transport"
16310,33.6503682,-117.7506403,50,"nan","Pacifica Irvine 92618","nan","OVERPASS","nan","nan","parking, parking_entrance","parking"
16311,35.0095034,-78.822445,50,"Tesla Supercharger","nan","nan","OVERPASS","nan","nan","charging_station","transport"
16312,39.2687454,-94.6705861,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16313,41.6848167,-81.2924682,200,"Arby's, Moe's Southwest Grill","Mentor Avenue Painesville Township OH 44077, Mentor Avenue Mentor OH 44060","nan","OVERPASS","['10:00-23:00, 10:30-21:00']","[{'days': ['{""10:00-23:00,'], 'open': '10:30', 'close': '21:00""}'}]","fast_food","food_and_drink"
16314,47.6143687,-122.1964055,50,"HomeStreet Bank, Banner Bank, Pho Cyclo Cafe","nan","nan","OVERPASS","nan","nan","atm, bank, bench, bicycle_parking, cafe, parking, parking_entrance","food_and_drink"
16315,25.7684501,-80.1895339,50,"Icon Brickell","nan","nan","OVERPASS","nan","nan","parking, parking_entrance","parking"
16316,28.5929717,-81.3710284,200,"4 Rivers Smokehouse, Calvary Assembly","Fairbanks Avenue 32789","nan","OVERPASS","nan","nan","place_of_worship, restaurant","food_and_drink"
16317,30.189039,-85.6564863,50,"Tokyo Steakhouse & Sushi Bar","East 23rd Street Panama City 32405","nan","OVERPASS","nan","nan","parking, restaurant","food_and_drink"
16318,34.0316422,-118.1291524,200,"Poly-Tech Dental Studio, Ground Up Coffee, J & S, Our Lady of the Miraculous Medal Parish, Kalaveras","Garfield Avenue Montebello CA 90640","nan","OVERPASS","['Mo-Th 10:00-24:00', 'Fr-Sa 10:00-1:00', 'Su 10:00-22:00']","nan","cafe, dentist, fast_food, parking, place_of_worship, restaurant","food_and_drink"
16319,34.6989548,-118.1453092,50,"Lancaster City Hall","Fern Avenue Lancaster CA 93534","yes","OVERPASS","nan","nan","parking, school, townhall","education"
16320,38.805525,-77.0458286,50,"Old Hat Bar, CVS Pharmacy, Tatte Bakery & Cafe, Chipotle","North Saint Asaph Street Alexandria VA 22314, King Street Alexandria VA 22314, King Street Alexandria VA 22314, King Street Alexandria VA 22314","nan","OVERPASS","['24/7, Mo-Sa 07:00-20:00', 'Su 08:00-19:00']","nan","bar, cafe, fast_food, pharmacy","food_and_drink"
16321,41.6971442,-71.4743446,50,"nan","nan","yes","OVERPASS","nan","nan","parking","parking"
16322,31.5374892,-97.1282677,50,"Schlotzsky's, Fuego, Jake's, Fuego","I 35 Waco TX 76706","nan","OVERPASS","['24/6 Closed Mondays']","nan","fast_food, restaurant, shelter","food_and_drink"
16323,35.5642212,-82.5418673,200,"Bruegger's Bagels, Arby's, Shell","Hendersonville Road Asheville NC 28803, Hendersonville Road Asheville NC 28803, Hendersonville Road Asheville NC 28803","customers","OVERPASS","['10:00-22:00']","nan","fast_food, fuel, parking","food_and_drink"
16324,34.1005628,-118.3327632,50,"Los Angeles LGBT Center, Jeffrey Goodman Clinic, Eden","Schrader Boulevard Los Angeles CA 90028, Schrader Boulevard Los Angeles CA 90028","yes","OVERPASS","['Mo-Fr 09:00-21:00', 'Sa 09:00-01:00, We, Fr, Sa 22:00-2:00']","nan","clinic, community_centre, nightclub, parking","healthcare"
16325,39.4201244,-77.4614511,50,"Popeyes","West Patrick Street Frederick MD 21704","nan","OVERPASS","['Mo-Th,Su 10:30-22:00', 'Fr-Sa 10:30-23:00']","nan","fast_food","food_and_drink"
16326,40.5737996,-122.3826624,50,"Redding Police Station, Redding City Hall","Cypress Avenue Redding CA 96001","nan","OVERPASS","nan","nan","parking, police, townhall","parking"
16327,21.4255664,-157.9970341,50,"nan","Moaniani Street Waipahu HI 96797","private, customers","OVERPASS","nan","nan","clinic, parking","healthcare"
16328,32.9860363,-96.7535865,50,"Parking Structure 4","nan","permit","OVERPASS","nan","nan","charging_station, parking, parking_entrance","parking"
16329,35.4277669,-83.4452124,50,"The Bistro at the Everett Hotel","Everett Street Bryson City NC 28713","nan","OVERPASS","nan","nan","atm, bench, restaurant","food_and_drink"
16330,38.4431714,-122.4076009,200,"nan","nan","nan","OVERPASS","nan","nan","charging_station, parking","parking"
16331,32.596603,-83.6353843,100,"Russell Elementary","Patriot Way Warner Robins GA 31088","nan","OVERPASS","nan","nan","school","education"
16332,33.9028631,-84.4860958,50,"Car Spa, Conoco","Cobb Parkway South Marietta GA 30067, Cobb Parkway South Marietta GA 30067","nan","OVERPASS","['Mo-Su 08:00-18:00']","[{'days': ['{""Mo-Su'], 'open': '08:00', 'close': '18:00""}'}]","car_wash, fuel","transport"
16333,40.7473119,-74.1828455,100,"Saint Augustine Roman Catholic Church","nan","nan","OVERPASS","nan","nan","place_of_worship","other"
16334,42.3382818,-71.0863174,50,"Columbus Parking Garage","nan","permit","OVERPASS","nan","nan","bicycle_parking, parking","parking"
16335,47.0426058,-124.1707129,50,"Quinault Beach Resort & Casino","nan","nan","OVERPASS","nan","nan","casino, charging_station, parking","parking"
16336,26.1174683,-80.1776731,100,"nan","nan","nan","OVERPASS","nan","nan","parking_space","parking"
16337,34.7997397,-92.3463598,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16338,37.8396023,-120.2297134,50,"Yosemite Gateway Carwash, Groveland Fire Department","nan","nan","OVERPASS","nan","nan","car_wash, fire_station, parking","parking"
16339,47.616363,-122.3382753,50,"Casco Antiguo, Bright Horizons, Tonbi, Ma’ono","7th Avenue Seattle WA 98121, 7th Avenue Seattle WA 98121","nan","OVERPASS","nan","nan","bench, bicycle_parking, fast_food, fountain, kindergarten, restaurant, waste_basket","food_and_drink"
16340,34.0527336,-118.2527685,50,"Nick & Stef's Steakhouse, Bank SinoPac","S Grand Ave Los Angeles CA 90071","nan","OVERPASS","nan","nan","bank, restaurant","food_and_drink"
16341,43.0629524,-76.0557908,100,"Enterprise","Manlius Center Road East Syracuse NY 13057","nan","OVERPASS","['Mo-Fr 07:30-18:00', 'Sa 09:00-14:00']","nan","car_rental, parking","parking"
16342,43.2946937,-91.773775,50,"Winnesheik Medical Center, Winneshiek Medical Center","nan","nan","OVERPASS","nan","nan","hospital","healthcare"
16343,47.0002877,-122.6681162,50,"Red Wind Casino","Yelm Highway Southeast Olympia WA 98513","nan","OVERPASS","nan","nan","casino, parking","parking"
16344,34.0095259,-84.5760463,200,"Iron Age Korean Steakhouse, Sidelines Sports Grille, Two Hands Seoul Fresh Corn Dogs, United States Postal Service, El Nopalito Mexican Restaurant, Fire Stone Chinese Cuisine","Ernest W. Barrett Parkway Northwest, Ernest W. Barrett Parkway Northwest, Ernest W. Barrett Parkway Northwest, Ernest W. Barrett Parkway Northwest, Ernest W. Barrett Parkway Northwest, Ernest W. Barrett Parkway Northwest","nan","OVERPASS","['11:00-24:00, Mo-Sa 11:00-02:00', 'Su 11:00-24:00, 11:00-21:00, Mo-Fr 09:00-17:00, 11:00-22:00, Mo,We-Th 11:00-15:00,16:00-21:30', 'Tu off', 'Fr-Sa 11:00-22:00', 'Su 11:30-21:00']","nan","post_office, restaurant","food_and_drink"
16345,37.6978597,-121.838612,50,"nan","nan","nan","OVERPASS","nan","nan","bicycle_parking","parking"
16346,28.9108685,-81.2912638,200,"Shell, USPS, Starbucks","nan","nan","OVERPASS","nan","nan","bank, cafe, fuel, post_box","food_and_drink"
16347,34.0432911,-118.7119002,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16348,42.2178201,-73.815593,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16349,45.5025628,-122.9434094,200,"Valley Memorial Park Funeral Home","Southeast Tualatin Valley Highway Hillsboro OR 97123","nan","OVERPASS","nan","nan","mortuary","other"
16350,34.070594,-118.0202204,200,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
